1: #00FF00
2: #02FC00
3: #05F900
4: #07F700
5: #0AF400
6: #0CF200
7: #0FEF00
8: #12EC00
9: #14EA00
10: #17E700
11: #19E500
12: #1CE200
13: #1EE000
14: #21DD00
15: #24DA00
16: #26D800
17: #29D500
18: #2BD300
19: #2ED000
20: #30CE00
21: #33CB00
22: #36C800
23: #38C600
24: #3BC300
25: #3DC100
26: #40BE00
27: #42BC00
28: #45B900
29: #48B600
30: #4AB400
31: #4DB100
32: #4FAF00
33: #52AC00
34: #55AA00
35: #57A700
36: #5AA400
37: #5CA200
38: #5F9F00
39: #619D00
40: #649A00
41: #679700
42: #699500
43: #6C9200
44: #6E9000
45: #718D00
46: #738B00
47: #768800
48: #798500
49: #7B8300
50: #7E8000
51: #807E00
52: #837B00
53: #857900
54: #887600
55: #8B7300
56: #8D7100
57: #906E00
58: #926C00
59: #956900
60: #976700
61: #9A6400
62: #9D6100
63: #9F5F00
64: #A25C00
65: #A45A00
66: #A75700
67: #AA5500
68: #AC5200
69: #AF4F00
70: #B14D00
71: #B44A00
72: #B64800
73: #B94500
74: #BC4200
75: #BE4000
76: #C13D00
77: #C33B00
78: #C63800
79: #C83600
80: #CB3300
81: #CE3000
82: #D02E00
83: #D32B00
84: #D52900
85: #D82600
86: #DA2400
87: #DD2100
88: #E01E00
89: #E21C00
90: #E51900
91: #E71700
92: #EA1400
93: #EC1200
94: #EF0F00
95: #F20C00
96: #F40A00
97: #F70700
98: #F90500
99: #FC0200
100: #FF0000
